騾	骡
驀	蓦
驅	驱
䎱	䎬
襬	摆
襪	袜
辯	辩
飆	飙
鶬	鸧
鶻	鹘
鶴	鹤
鷄	鸡
鶺	鹡
鶼	鹣
鷉	䴘
鷂	鹞
鶯	莺
攛	撺
㩳	㧐
攝	摄
鹺	鹾
纏	缠
纊	纩
纍	累
纈	缬
續	续
鐺	铛
鐸	铎
鐶	镮
鐳	镭
鐮	镰
鐵	铁
鐿	镱
鐲	镯
躊	踌
躋	跻
躍	跃
灃	沣
灄	滠
顧	顾
顥	颢
鰥	鳏
鰜	鳒
鰟	鳑
鰭	鳍
鰣	鲥
鰨	鳎
鰧	䲢
鰮	鳁
䱷	䲣
轟	轰
護	护
譴	谴
譽	誉
齎	赍
殲	歼
贐	赆
懼	惧
懾	慑
櫸	榉
欄	栏
櫻	樱
饋	馈
饒	饶
饌	馔
蠟	蜡
蠣	蛎
癩	癞
癧	疬
斕	斓
覽	览
爛	烂
儷	俪
儺	傩
糲	粝
礱	砻
髏	髅
衊	蔑
囁	嗫
囂	嚣
囀	啭
闢	辟
闥	闼
鞽	鞒
藭	䓖
藪	薮
藥	药
藝	艺
屬	属
齦	龈
瓔	璎
竈	灶
鰲	鳌
鰾	鳔
鰹	鲣
鰳	鳓
鰱	鲢
鰻	鳗
鰵	鳘
鰷	鲦
鰼	鳛
鱈	鳕
鱅	鳙
鷗	鸥
鷚	鹨
鷖	鹥
鷓	鹧
鷙	鸷
鑌	镔
鑔	镲
鑊	镬
鑒	鉴
鑄	铸
攢	攒
攤	摊
囅	冁
囉	啰
囈	呓
顫	颤
襯	衬
襲	袭
齪	龊
齬	龉
韃	鞑
韁	缰
糴	籴
覿	觌
巔	巅
巒	峦
讀	读
讅	谉
龔	龚
龕	龛
驊	骅
驕	骄
驍	骁
歡	欢
霽	霁
籟	籁
籠	笼
籙	箓
籜	箨
灕	漓
灑	洒
灘	滩
藶	苈
藺	蔺
蘢	茏
蘆	芦
蘋	苹
蘄	蕲
蘇	苏
蘀	萚
蘊	蕴
轢	轹
轡	辔
酈	郦
聾	聋
聽	听
艫	舻
孌	娈
孿	孪
玀	猡
竊	窃
權	权
贖	赎
罎	坛
儻	傥
儼	俨
彎	弯
饗	飨
蠨	蟏
鬚	须
癬	癣
癮	瘾
癭	瘿
躑	踯
躓	踬
變	变
讎	雠
讌	䜩
讋	詟
鑣	镳
鑞	镴
鑥	镥
鑠	铄
鑕	锧
鱉	鳖
鱖	鳜
鱗	鳞
鱔	鳝
鱘	鲟
鱒	鳟
纔	才
纖	纤
纓	缨
蠱	蛊
㘚	㘎
囌	苏
齏	齑
鷦	鹪
鷲	鹫
鷯	鹩
鷺	鹭
鷥	鸶
鷳	鹇
鷸	鹬
攪	搅
攣	挛
驚	惊
驗	验
驛	驿
蘭	兰
蘞	蔹
蘚	藓
邐	逦
邏	逻
戀	恋
轤	轳
欒	栾
欏	椤
黴	霉
籤	签
顬	颥
顯	显
曬	晒
體	体
髒	脏
躚	跹
饜	餍
靨	靥
癰	痈
臢	臜
瓚	瓒
靄	霭
靆	叇
靂	雳
靈	灵
壩	坝
髕	髌
鬢	鬓
蠶	蚕
讒	谗
讖	谶
讕	谰
讓	让
癲	癫
癱	瘫
籪	簖
贛	赣
灝	灏
鱟	鲎
鱠	鲙
鱧	鳢
鱣	鳣
羈	羁
鹼	硷
鹽	盐
攬	揽
釀	酿
鷿	䴙
鸊	䴙
鷹	鹰
鸇	鹯
顰	颦
韆	千
齲	龋
齷	龌
艷	艳
驟	骤
囑	嘱
靉	叆
籩	笾
籬	篱
籮	箩
躥	蹿
躡	蹑
鱨	鲿
鱭	鲚
觀	观
黌	黉
髖	髋
鑭	镧
鑲	镶
鑰	钥
欖	榄
顱	颅
臠	脔
蘿	萝
蠻	蛮
糶	粜
廳	厅
鼉	鼍
灣	湾
釁	衅
纘	缵
鑹	镩
鑷	镊
饞	馋
韉	鞯
灤	滦
驢	驴
釃	酾
黶	黡
趲	趱
躦	躜
矚	瞩
鱷	鳄
鱸	鲈
讜	谠
讞	谳
黷	黩
驥	骥
驤	骧
纜	缆
躪	躏
鸕	鸬
鑾	銮
鑼	锣
鑿	凿
鑽	钻
顳	颞
顴	颧
灧	滟
釅	酽
鐝	镢
钁	䦆
钂	镋
欞	棂
鸚	鹦
戇	戆
鸛	鹳
驪	骊
鬱	郁
鱺	鲡
鸝	鹂
鸞	鸾
饢	馕
籲	吁
膁	肷
鬨	闹
瀠	潆
颻	飖
襆	幞
鏍	镙
閎	闳
憖	慭
丟	丢
眥	眦
氳	氲
漵	溆
媼	媪
饑	饥
鯒	鲬
齕	龁
虯	虬
